Inference for Stan model: anon_model_ea7472b8d56bc5f84ff3510e3d923f83.
4 chains, each with iter=2000; warmup=250; thin=1; 
post-warmup draws per chain=1750, total post-warmup draws=7000.

                     mean se_mean     sd   2.5%    25%     50%    75%  97.5%  n_eff   Rhat
beta_sub[8]          -4.1  4.9e-3   0.12  -4.42  -4.16   -4.08  -4.02  -3.95    620   1.01
beta_sub[9]          -4.1  5.1e-3   0.15  -4.49  -4.15   -4.06  -4.01   -3.9    865    1.0
beta_sub[10]         -4.1  3.8e-3   0.11  -4.38  -4.14   -4.08  -4.02  -3.95    902    1.0
gamma_sub[1]        -0.11    0.07   1.42  -2.79  -1.11    -0.2   0.74   2.87    438   1.01
gamma_sub[2]         0.01    0.08   1.44  -2.73  -1.02   -0.04   0.94   2.95    362   1.01
gamma_sub[3]         0.02    0.13    1.5  -2.78  -1.08   -0.05    1.0   3.02    136   1.03
gamma_sub[4]        -0.06    0.05   1.41  -2.81  -1.04   -0.14   0.79   2.93    719   1.01
gamma_sub[5]        -0.03    0.07   1.38  -2.71  -0.99   -0.09   0.89   2.71    433   1.01
gamma_sub[6]         0.04    0.12   1.47   -2.8  -1.06   -0.02   1.02   2.72    156   1.03
gamma_sub[7]         0.04     0.1   1.48  -2.79  -1.06   -0.02   1.07   2.88    230   1.03
gamma_sub[8]        -0.04    0.06    1.4  -2.76  -1.06   -0.08   0.87   2.75    565   1.01
gamma_sub[9]         0.07    0.11   1.48  -2.66  -1.01 -2.7e-3   1.07    2.9    194   1.03
gamma_sub[10]     -1.1e-3    0.07   1.42  -2.81  -1.03   -0.02   0.87   2.83    452   1.01
alpha_mu_phi         0.52    0.04    0.3   0.04   0.26    0.54   0.79   0.98     64   1.08
beta_mu_phi        2.9e-4  4.0e-6 1.1e-4 9.9e-5 2.3e-4  2.9e-4 3.5e-4 4.5e-4    737   1.01
gamma_mu_phi          0.5    0.02    0.3   0.03   0.21     0.5   0.77   0.98    147   1.04
alpha_sub_phi[1]     0.54    0.03   0.32 5.9e-3   0.26    0.54   0.85    1.0    145   1.04
alpha_sub_phi[2]     0.54    0.04   0.33 5.5e-3   0.24    0.56   0.86    1.0     72   1.07
alpha_sub_phi[3]     0.52    0.04   0.34 4.9e-3   0.19    0.54   0.85    1.0     80   1.07
alpha_sub_phi[4]     0.53    0.03   0.34 5.0e-3    0.2    0.54   0.85    1.0     93   1.06
alpha_sub_phi[5]     0.52    0.03   0.33 5.3e-3    0.2    0.54   0.85    1.0     98   1.06
alpha_sub_phi[6]     0.52    0.04   0.34 3.6e-3    0.2    0.53   0.85    1.0     82   1.07
alpha_sub_phi[7]     0.52    0.04   0.35 2.6e-3    0.2    0.54   0.85    1.0     74   1.07
alpha_sub_phi[8]     0.52    0.04   0.34 4.7e-3    0.2    0.53   0.85    1.0     81   1.07
alpha_sub_phi[9]     0.53    0.03   0.32 4.7e-3   0.24    0.54   0.84    1.0    119   1.05
alpha_sub_phi[10]    0.51    0.04   0.35 4.9e-5   0.18    0.52   0.85    1.0     76   1.07
beta_sub_phi[1]    5.1e-4  1.4e-5 1.1e-4 3.2e-4 4.4e-4  5.1e-4 5.9e-4 7.5e-4     61   1.08
beta_sub_phi[2]    4.0e-4  6.8e-6 8.7e-5 2.6e-4 3.4e-4  4.0e-4 4.6e-4 5.9e-4    162   1.02
beta_sub_phi[3]    3.1e-4 10.0e-6 1.8e-4 2.6e-5 1.7e-4  2.9e-4 4.0e-4 7.2e-4    334   1.02
beta_sub_phi[4]    2.2e-4  6.8e-6 1.1e-4 2.3e-5 1.4e-4  2.2e-4 3.1e-4 4.3e-4    266   1.02
beta_sub_phi[5]    2.4e-4  1.0e-5 1.3e-4 1.9e-5 1.4e-4  2.4e-4 3.3e-4 4.8e-4    157   1.03
beta_sub_phi[6]    2.5e-4  4.9e-6 1.3e-4 2.2e-5 1.6e-4  2.3e-4 3.3e-4 5.3e-4    718   1.01
beta_sub_phi[7]    3.2e-4  1.2e-6 6.2e-5 2.0e-4 2.8e-4  3.2e-4 3.6e-4 4.5e-4   2749    1.0
beta_sub_phi[8]    2.5e-4  4.9e-6 1.1e-4 3.8e-5 1.6e-4  2.5e-4 3.3e-4 4.7e-4    542   1.01
beta_sub_phi[9]    2.7e-4  4.2e-6 1.5e-4 2.6e-5 1.7e-4  2.7e-4 3.5e-4 6.0e-4   1260    1.0
beta_sub_phi[10]   2.5e-4  3.8e-6 1.1e-4 4.9e-5 1.8e-4  2.5e-4 3.2e-4 4.6e-4    772    1.0
gamma_sub_phi[1]     0.46    0.02   0.33 2.5e-3   0.13    0.42   0.77    1.0    186   1.03
gamma_sub_phi[2]      0.5    0.02   0.34 3.0e-3   0.15    0.49   0.83    1.0    184   1.03
gamma_sub_phi[3]     0.49    0.03   0.35 2.6e-3   0.14    0.48   0.84    1.0    118   1.04
gamma_sub_phi[4]     0.48    0.02   0.33 2.3e-3   0.15    0.45   0.78    1.0    321   1.02
gamma_sub_phi[5]     0.49    0.02   0.33 3.2e-3   0.16    0.46   0.81    1.0    240   1.02
gamma_sub_phi[6]      0.5    0.03   0.34 2.4e-3   0.14    0.49   0.85    1.0    115   1.04
gamma_sub_phi[7]      0.5    0.03   0.35 2.5e-3   0.14    0.49   0.86    1.0    132   1.04
gamma_sub_phi[8]     0.48    0.02   0.33 2.8e-3   0.14    0.47   0.81    1.0    236   1.02
gamma_sub_phi[9]     0.51    0.03   0.35 3.7e-3   0.16     0.5   0.86    1.0    141   1.04
gamma_sub_phi[10]     0.5    0.02   0.34 2.4e-3   0.15    0.49   0.81    1.0    199   1.03
log_LL[1]           -1028    0.04   1.01  -1031  -1029   -1028  -1027  -1027    693    1.0
log_LL[2]           -1291    0.08   0.84  -1293  -1291   -1291  -1290  -1290    105   1.04
log_LL[3]          -12.27  5.3e-3   0.18 -12.68 -12.33  -12.24 -12.16 -12.09   1129   1.01
log_LL[4]          -317.7    0.02   0.54 -319.1 -317.9  -317.5 -317.3 -317.2    489   1.01
log_LL[5]          -69.86    0.04   0.48 -70.88 -70.14  -69.78 -69.48 -69.24    175   1.03
log_LL[6]           -69.6    0.01   0.35 -70.51 -69.75   -69.5 -69.36 -69.22    990   1.01
log_LL[7]           -1820    0.02   0.64  -1822  -1820   -1820  -1819  -1819    758   1.01
log_LL[8]          -295.0  9.2e-3   0.34 -295.9 -295.1  -294.9 -294.8 -294.7   1411    1.0
log_LL[9]          -32.12  5.1e-3   0.24  -32.7 -32.19  -32.07 -31.97 -31.87   2186    1.0
log_LL[10]         -392.2    0.01   0.37 -393.2 -392.3  -392.1 -392.0 -392.0    725   1.01
lp__                -5324    1.12  12.55  -5349  -5333   -5324  -5315  -5300    126   1.04

Samples were drawn using NUTS at Mon Mar 15 09:12:43 2021.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
